Table 1
;Abbr.;Capital;"Area
A (km²)";"Population
Census (C)
1980-12-02";"Population
Census (C)
1990-12-04";"Population
Census (C)
2000-12-05";"Population
Estimate (E)
2010-12-31";"Population
Estimate (E)
2020-12-31";"Population
Estimate (Ep)
2022-12-31"
;AG;Aarau;1.404;453.442;507.508;547.493;611.466;694.072;711.006
;AR;Herisau;243;47.611;52.229;53.504;53.017;55.309;55.749
;AI;Appenzell;173;12.844;13.870;14.618;15.688;16.293;16.414
;BL;Liestal;518;233.447;248.484;259.374;274.404;290.969;294.283
;BS;Basel;37;203.915;199.411;188.079;184.950;196.735;196.649
;BE;Bern;5.940;898.343;943.070;957.144;979.754;1.043.081;1.051.083
;FR;Fribourg;1.672;185.300;213.627;241.759;278.541;325.547;334.355
;GE;Genève;282;349.040;379.190;413.673;457.715;506.343;513.952
;GL;Glarus;685;36.718;38.508;38.183;38.608;40.851;41.469
;GR;Chur;7.105;164.641;173.890;187.058;192.621;200.096;202.509
;JU;Delémont;836;64.986;66.233;68.224;70.032;73.709;73.851
;LU;Luzern;1.493;296.159;326.268;350.504;377.610;416.347;424.756
;NE;Neuchâtel;803;158.368;163.985;167.949;172.085;175.894;176.540
;NW;Stans;276;28.617;33.044;37.235;41.024;43.520;44.410
;OW;Sarnen;490;25.865;29.025;32.427;35.585;38.108;38.695
;SH;Schaffhausen;298;69.413;72.160;73.392;76.356;83.107;85.201
;SZ;Schwyz;908;97.354;111.964;128.704;146.730;162.157;164.899
;SO;Solothurn;791;218.102;231.746;244.341;255.284;277.462;282.286
;SG;St. Gallen;2.026;391.995;427.501;452.837;478.907;514.504;525.870
;TG;Frauenfeld;991;183.795;209.362;228.875;248.444;282.909;289.580
;TI;Bellinzona;2.812;265.899;282.181;306.846;333.753;350.986;353.993
;UR;Altdorf;1.077;33.883;34.208;34.777;35.422;36.819;37.313
;VS;Sion;5.225;218.707;249.817;272.399;312.684;348.503;357.128
;VD;Lausanne;3.212;528.747;601.816;640.657;713.281;814.762;830.221
;ZG;Zug;239;75.930;85.546;100.052;113.105;128.794;131.128
;ZH;Zürich;1.729;1.122.839;1.179.044;1.247.906;1.373.068;1.553.423;1.579.388
